MPN,Value,Description,Manufacturer,UnitCost,Stock,Supplier,Date,PurchaseURL
,9V Battery Buckle,9V Battery Clip Holder Case Box with Wire Leads DIY,Taimei,0.1300,,aliexpress,"May 17, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8188559326259074
,"Transpaent, 1000PCS-(10 Sheets)",1000-100Pcs Self Adhesive Buffer Pads Mini Non-Slip Clear Dots Rubber Damper Silicone Cabinet Door Stops Reduce Noise Bumpons,Home Decors,9.9600,,aliexpress,"Feb 25, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8198253385779074
,,100PCS 2X4 Pin 8P 2.54mm Double Row Female Straight Header Pitch Socket Pin Strip,Worldchips,1.5200,,aliexpress,"Apr 28, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8130685884619074
3362S,104 100PCS,JASNPROSMA 3362S 50PCS 100PCS 100K 200K 500K 104 204 504 Precision Adjustable,JASNPROSMA Professional Electron,11.1600,,aliexpress,"Apr 17, 2023",https://www.aliexpress.com/p/order/detail.html?orderId=8166418068049074
AD9833,Blue board,AD9833 AD9833BRMZ Programmable Microprocessors Serial Interface Module Sine Square DDS Signal Generator Module,Shop1103489139,1.3900,,aliexpress,"Mar 18, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8185664485409074
,,500pcs/lot 9V Snap Battery Connector Wire Cable Adapter Holder Experimental Power Connectors Terminal T Style 15cm,Hardware -Household Accessries,34.3400,,aliexpress,"Feb 19, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8198617426329074
,1x6 pins,50PCS New Single Row 1x6 1x5 1x4 1x3 1x2 pins 2.54mm Female Header Straight Connector,Fancys Module Mall,0.5700,,aliexpress,"Sep 1, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8138011979329074
GL5539,,1000pcs GL5539 Photoresistor LDR Photo Resistors Light-Dependent 5MM Photoelectric Switch Component 5539 Resistance,"YT Electronics components co.,ltd",22.1800,,aliexpress,"Jun 29, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8134629787499074
,,500pcs/lot High Quality M3 x 10mm Black Plastic Nylon Hexagon Hex Female-Female Thread Nuts Standoff F-F Spacer Pillars,LIYA Hardware,12.5900,,aliexpress,"Dec 13, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8159339156259074
XH2.54,,100PCS XH2.54mm 2A Connector 2P straight pin 2.54MM Pitch XH-2A Connector terminals MALE,Winyat,4.8800,,aliexpress,"Jun 16, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8015702350979074
DC-022,"2.1x5.5mm, 200 PCS",10/50/200PCS DC-022 5.5x2.1mm DC Power Jack Black 5.5x2.5mm 5.5*2.1mm DC Connector Panel Mounting DC022 Socket 5.5-2.5,Shop1103529943,24.1200,,aliexpress,"Jan 23, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8197246567589074
